epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.8842,1.00433,2.08912,1.05233,0.9956,0.965,0.99436,0.88142,0.50166,1.8149,0.87214,0.00330808,0.00330808,0.00330808
2,46.6723,0.99832,1.16784,1.05714,0.99004,0.99427,0.9948,0.85962,0.59549,0.80688,0.91423,0.00663922,0.00663922,0.00663922
3,67.655,1.04726,0.91951,1.10174,0.99876,1,0.995,0.87253,0.53499,0.62452,0.89562,0.00996816,0.00996816,0.00996816
4,87.8966,1.04354,0.77442,1.11791,0.99821,1,0.995,0.56711,1.60726,0.83732,1.4959,0.0099901,0.0099901,0.0099901
5,107.961,1.02341,0.66686,1.11807,0.99908,1,0.995,0.84115,0.59076,0.46355,0.91435,0.0099868,0.0099868,0.0099868
6,128.54,1.03484,0.63451,1.11951,0.98987,1,0.995,0.84372,0.58282,0.42612,0.9229,0.0099835,0.0099835,0.0099835
7,149.063,0.95341,0.57282,1.07752,0.99945,1,0.995,0.89267,0.49106,0.36739,0.87743,0.0099802,0.0099802,0.0099802
8,169.623,0.94062,0.54774,1.07822,0.99893,1,0.995,0.8783,0.53089,0.37118,0.88963,0.0099769,0.0099769,0.0099769
9,190.51,0.93458,0.53475,1.07985,0.99485,1,0.995,0.91054,0.44758,0.33989,0.8636,0.0099736,0.0099736,0.0099736
10,210.468,0.92326,0.5214,1.07894,0.99923,1,0.995,0.8724,0.54904,0.36028,0.9008,0.0099703,0.0099703,0.0099703
11,230.916,0.93085,0.51327,1.08909,0.9985,1,0.995,0.91552,0.42709,0.3388,0.85969,0.009967,0.009967,0.009967
12,251.566,0.88923,0.49074,1.06542,0.99966,1,0.995,0.8921,0.50339,0.33001,0.8786,0.0099637,0.0099637,0.0099637
13,273.266,0.86577,0.4872,1.05329,0.9997,1,0.995,0.90887,0.40915,0.31598,0.85706,0.0099604,0.0099604,0.0099604
14,293.709,0.89621,0.49393,1.07093,0.99443,1,0.995,0.93111,0.38346,0.28229,0.85025,0.0099571,0.0099571,0.0099571
15,313.789,0.86402,0.46774,1.04134,0.99957,0.985,0.98534,0.88735,0.46493,0.3368,0.87218,0.0099538,0.0099538,0.0099538
16,333.54,0.84969,0.461,1.04296,0.98759,1,0.99445,0.92688,0.35898,0.33679,0.84711,0.0099505,0.0099505,0.0099505
17,352.745,0.82848,0.44958,1.0325,0.9996,1,0.995,0.95204,0.33353,0.2673,0.83688,0.0099472,0.0099472,0.0099472
18,372.347,0.8082,0.44362,1.02719,0.99963,1,0.995,0.94528,0.35091,0.25842,0.83838,0.0099439,0.0099439,0.0099439
19,392.796,0.82744,0.44733,1.03131,0.99952,1,0.995,0.93292,0.36716,0.27701,0.84732,0.0099406,0.0099406,0.0099406
20,412.131,0.81815,0.43302,1.02729,0.99966,1,0.995,0.91517,0.49459,0.29774,0.88744,0.0099373,0.0099373,0.0099373
21,431.402,0.79449,0.43362,1.02137,0.99969,1,0.995,0.94414,0.36023,0.25477,0.84719,0.009934,0.009934,0.009934
22,451.423,0.79517,0.42581,1.02152,0.99969,1,0.995,0.93759,0.37016,0.26408,0.84439,0.0099307,0.0099307,0.0099307
23,471.301,0.78544,0.42597,1.0214,0.99976,1,0.995,0.93249,0.36503,0.26798,0.84461,0.0099274,0.0099274,0.0099274
24,491.321,0.76812,0.4163,1.00997,0.9997,1,0.995,0.94607,0.34886,0.25427,0.83196,0.0099241,0.0099241,0.0099241
25,511.235,0.79327,0.42307,1.02447,0.9988,1,0.995,0.95021,0.31336,0.24752,0.8287,0.0099208,0.0099208,0.0099208
26,531.069,0.7595,0.41078,1.00565,0.99948,1,0.995,0.94282,0.33086,0.24601,0.83784,0.0099175,0.0099175,0.0099175
27,551.003,0.76095,0.40588,1.00656,0.9997,1,0.995,0.94625,0.34095,0.23253,0.83303,0.0099142,0.0099142,0.0099142
28,570.912,0.75896,0.40384,1.00168,0.9997,1,0.995,0.95634,0.32867,0.22895,0.83941,0.0099109,0.0099109,0.0099109
29,591.071,0.75122,0.40283,0.99985,0.99921,1,0.995,0.94734,0.33154,0.23576,0.8358,0.0099076,0.0099076,0.0099076
30,611.039,0.74202,0.40332,0.99519,0.99968,1,0.995,0.9364,0.31441,0.24056,0.82367,0.0099043,0.0099043,0.0099043
31,631.132,0.72447,0.39312,0.98872,0.94705,1,0.99327,0.95623,0.27873,0.30219,0.8234,0.009901,0.009901,0.009901
32,651.097,0.72578,0.38708,0.98606,0.99948,1,0.995,0.95204,0.35003,0.23328,0.84169,0.0098977,0.0098977,0.0098977
33,671.53,0.74453,0.3937,1.00297,0.99967,1,0.995,0.9646,0.289,0.22881,0.82745,0.0098944,0.0098944,0.0098944
34,691.996,0.73384,0.39979,0.99264,0.99967,1,0.995,0.96702,0.28573,0.21562,0.81799,0.0098911,0.0098911,0.0098911
35,712.247,0.73292,0.38553,0.99164,0.99964,1,0.995,0.96019,0.30993,0.22141,0.83059,0.0098878,0.0098878,0.0098878
36,732.575,0.73242,0.38439,0.99389,0.99935,1,0.995,0.96067,0.2992,0.21748,0.82217,0.0098845,0.0098845,0.0098845
37,752.932,0.72136,0.38849,0.98682,0.99941,1,0.995,0.96797,0.28633,0.21412,0.82077,0.0098812,0.0098812,0.0098812
38,773.053,0.7239,0.37947,0.97646,0.99962,1,0.995,0.97185,0.29428,0.21102,0.81973,0.0098779,0.0098779,0.0098779
39,793.415,0.71084,0.37371,0.98751,0.9996,1,0.995,0.97122,0.27997,0.20644,0.82067,0.0098746,0.0098746,0.0098746
40,813.356,0.70632,0.37436,0.9814,0.9997,1,0.995,0.96757,0.26849,0.21053,0.81898,0.0098713,0.0098713,0.0098713
41,833.414,0.69389,0.36697,0.96938,0.99971,1,0.995,0.96785,0.30192,0.21111,0.82514,0.009868,0.009868,0.009868
42,852.984,0.71202,0.37452,0.98895,0.99962,1,0.995,0.9796,0.26563,0.20438,0.81963,0.0098647,0.0098647,0.0098647
